text,symptoms
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation","['fatigue', 'mood swings', 'weight loss', 'restlessness', 'sweating', 'diarrhoea', 'excessive hunger', 'muscle weakness', 'irritability', 'abnormal menstruation']"
"joint_pain,vomiting,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,diarrhoea,mild_fever,yellowing_of_eyes,muscle_pain","['joint pain', 'vomiting', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'diarrhoea', 'mild fever', 'yellowing of eyes', 'muscle pain']"
"skin_rash,chills,joint_pain,vomiting,fatigue,high_fever,headache,nausea,loss_of_appetite,pain_behind_the_eyes,back_pain,malaise,muscle_pain,red_spots_over_body","['skin rash', 'chills', 'joint pain', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'loss of appetite', 'pain behind the eyes', 'back pain', 'malaise', 'muscle pain', 'red spots over body']"
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","['itching', 'vomiting', 'yellowish skin', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes']"
"You might develop signs and symptoms of an intracranial hematoma right after a head injury, or they may take weeks or longer to appear. You might seem fine after a head injury. This period is called the lucid interval. Over time, pressure on your brain increases, producing some or all of the following signs and symptoms:  Headache that gets worse Vomiting Drowsiness and progressive loss of consciousness Dizziness Confusion Unequal pupil size Slurred speech Loss of movement (paralysis) on the opposite side of the body from the head injury  As more blood fills your brain or the narrow space between your brain and skull, other signs and symptoms may appear, such as:  Lethargy Seizures Unconsciousness","['develop signs symptoms intracranial hematoma right head injury', ' may take weeks longer appear', ' fine head injury', ' period called lucid interval', ' time', ' pressure brain increases', ' producing following signs symptoms:  headache worse vomiting drowsiness progressive loss consciousness dizziness confusion unequal pupil size slurred speech loss movement (paralysis) opposite side body head injury  blood fills brain narrow space brain skull', ' signs symptoms may appear', ' as:  lethargy seizures unconsciousness ']"
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking","['muscle weakness', 'stiff neck', 'swelling joints', 'movement stiffness', 'painful walking']"
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","['vomiting', 'indigestion', 'loss of appetite', 'abdominal pain', 'passage of gases', 'internal itching']"
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum","['chills', 'vomiting', 'fatigue', 'weight loss', 'cough', 'high fever', 'breathlessness', 'sweating', 'loss of appetite', 'mild fever', 'yellowing of eyes', 'swelled lymph nodes', 'malaise', 'phlegm', 'chest pain', 'blood in sputum']"
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum","['fatigue', 'cough', 'high fever', 'breathlessness', 'family history', 'mucoid sputum']"
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination","['itching', 'skin rash', 'stomach pain', 'burning micturition', 'spotting  urination']"
"vomiting,breathlessness,sweating,chest_pain","['vomiting', 'breathlessness', 'sweating', 'chest pain']"
I've been feeling really run down lately. I've been having a lot of trouble breathing and my nose is constantly running. I also have a lot of throat mucus and my lymph nodes are inflamed.,"[""i've feeling run down lately"", "" i've trouble breathing nose constantly running"", ' throat mucus lymph nodes inflamed']"
"skin_rash,high_fever,blister,red_sore_around_nose,yellow_crust_ooze","['skin rash', 'high fever', 'blister', 'red sore around nose', 'yellow crust ooze']"
I have been having a lot of pain in my joints and muscles. My neck is stiff and I have a hard time moving around. I also have a lot of pain when I try to steer my car.,"['pain joints muscles', ' neck stiff hard time moving around', ' pain try steer car']"
"vomiting,indigestion,loss_of_appetite,abdominal_pain,passage_of_gases,internal_itching","['vomiting', 'indigestion', 'loss of appetite', 'abdominal pain', 'passage of gases', 'internal itching']"
"acidity,indigestion,headache,blurred_and_distorted_vision,excessive_hunger,stiff_neck,irritability,visual_disturbances","['acidity', 'indigestion', 'headache', 'blurred and distorted vision', 'excessive hunger', 'stiff neck', 'irritability', 'visual disturbances']"
"Signs and symptoms of myofascial pain syndrome may include:  Deep, aching pain in a muscle Pain that persists or worsens A tender knot in a muscle Difficulty sleeping due to pain","['signs symptoms myofascial pain syndrome may include:  deep', ' aching pain muscle pain persists worsens tender knot muscle difficulty sleeping due pain ']"
"muscle_weakness,stiff_neck,swelling_joints,movement_stiffness,painful_walking","['muscle weakness', 'stiff neck', 'swelling joints', 'movement stiffness', 'painful walking']"
"skin_rash,pus_filled_pimples,blackheads,scurring","['skin rash', 'pus filled pimples', 'blackheads', 'scurring']"
"skin_rash,stomach_pain,burning_micturition,spotting__urination","['skin rash', 'stomach pain', 'burning micturition', 'spotting  urination']"
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","['itching', 'skin rash', 'fatigue', 'lethargy', 'high fever', 'headache', 'loss of appetite', 'mild fever', 'swelled lymph nodes', 'malaise', 'red spots over body']"
"fatigue,yellowish_skin,loss_of_appetite,yellowing_of_eyes,family_history","['fatigue', 'yellowish skin', 'loss of appetite', 'yellowing of eyes', 'family history']"
"Cystic acne       Open pop-up dialog box          Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.               Cystic acne       Open pop-up dialog box           Cystic acne       Open pop-up dialog box  Open pop-up dialog box       Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.          Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.        Close    Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.     Close    Close  Close Cystic acne   Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation.  Cystic acne Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Cystic acne — the most severe form of acne — occurs when oil and dead skin cells build up deep within hair follicles. The resulting rupture within your skin may form boil-like inflammation. Acne signs vary depending on the severity of your condition:  Whiteheads (closed plugged pores) Blackheads (open plugged pores) Small red, tender bumps (papules) Pimples (pustules), which are papules with pus at their tips  Large, solid, painful lumps under the skin (nodules) Painful, pus-filled lumps under the skin (cystic lesions)  Acne usually appears on the face, forehead, chest, upper back and shoulders.","['           cystic acne       open pop-up dialog box          close    cystic acne   cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', '               cystic acne       open pop-up dialog box           cystic acne       open pop-up dialog box  open pop-up dialog box       close    cystic acne   cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', '          close    cystic acne   cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', '        close    cystic acne   cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', '     close    close  close cystic acne   cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', '  cystic acne cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', ' cystic acne — severe form acne — occurs oil dead skin cells build deep hair follicles', ' resulting rupture skin may form boil-like inflammation', ' acne signs vary depending severity condition:  whiteheads (closed plugged pores) blackheads (open plugged pores) small red', ' tender bumps (papules) pimples (pustules)', ' papules pus tips  large', ' solid', ' painful lumps skin (nodules) painful', ' pus-filled lumps skin (cystic lesions)  acne face', ' forehead', ' chest', ' upper back shoulders']"
"fatigue,yellowish_skin,nausea,yellowing_of_eyes,family_history","['fatigue', 'yellowish skin', 'nausea', 'yellowing of eyes', 'family history']"
"vomiting,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations","['vomiting', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred and distorted vision', 'excessive hunger', 'drying and tingling lips', 'slurred speech', 'irritability', 'palpitations']"
"The symptoms of radiation enteritis include diarrhea, nausea, vomiting and stomach cramps. Symptoms occur because of irritation of the intestines from radiation therapy for cancer. Symptoms usually go away several weeks after treatment ends. But sometimes they last longer. Radiation enteritis that goes on for longer can cause anemia and bowel obstruction. Risk factors The risk of radiation enteritis is higher in people undergoing radiation treatments for cancers in the belly and the pelvis. Radiation enteritis occurs because radiation therapy can cause irritation of the intestines.                  By Mayo Clinic Staff By Mayo Clinic Staff  Radiation enteritis care at Mayo Clinic","['symptoms radiation enteritis include diarrhea', ' nausea', ' vomiting stomach cramps', ' symptoms occur irritation intestines radiation therapy cancer', ' symptoms away weeks treatment ends', ' last longer', ' radiation enteritis goes longer can cause anemia bowel obstruction', ' risk factors risk radiation enteritis higher people undergoing radiation treatments cancers belly pelvis', ' radiation enteritis occurs radiation therapy can cause irritation intestines', '                  mayo clinic staff mayo clinic staff  radiation enteritis care mayo clinic ']"
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation","['fatigue', 'mood swings', 'weight loss', 'restlessness', 'sweating', 'diarrhoea', 'fast heart rate', 'excessive hunger', 'muscle weakness', 'irritability', 'abnormal menstruation']"
I have been having a high fever for the past few days. It is especially bad at night. I also have a mild headache and have been constipated and having diarrhea.,"['high fever past days', ' especially bad night', ' mild headache constipated diarrhea']"
"I have been having frequent headaches and blurred vision. I also have a stiff neck, anxiety, irritability, and visual disturbance. I have also been having stomach problems, including indigestion and acidity.","['frequent headaches blurred vision', ' stiff neck', ' anxiety', ' irritability', ' visual disturbance', ' stomach problems', ' including indigestion acidity']"
"vomiting,yellowish_skin,abdominal_pain,swelling_of_stomach,distention_of_abdomen,fluid_overload","['vomiting', 'yellowish skin', 'abdominal pain', 'swelling of stomach', 'distention of abdomen', 'fluid overload']"
"vomiting,sunken_eyes,dehydration,diarrhoea","['vomiting', 'sunken eyes', 'dehydration', 'diarrhoea']"
"itching,skin_rash,stomach_pain,burning_micturition,spotting__urination","['itching', 'skin rash', 'stomach pain', 'burning micturition', 'spotting  urination']"
"joint_pain,vomiting,fatigue,yellowish_skin,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","['joint pain', 'vomiting', 'fatigue', 'yellowish skin', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes']"
"itching,skin_rash,fatigue,lethargy,high_fever,headache,loss_of_appetite,mild_fever,swelled_lymph_nodes,malaise,red_spots_over_body","['itching', 'skin rash', 'fatigue', 'lethargy', 'high fever', 'headache', 'loss of appetite', 'mild fever', 'swelled lymph nodes', 'malaise', 'red spots over body']"
"vomiting,fatigue,anxiety,sweating,headache,nausea,blurred_and_distorted_vision,excessive_hunger,drying_and_tingling_lips,slurred_speech,irritability,palpitations","['vomiting', 'fatigue', 'anxiety', 'sweating', 'headache', 'nausea', 'blurred and distorted vision', 'excessive hunger', 'drying and tingling lips', 'slurred speech', 'irritability', 'palpitations']"
"continuous_sneezing,shivering,chills,watering_from_eyes","['continuous sneezing', 'shivering', 'chills', 'watering from eyes']"
"A hemangioma may be present at birth, but more often appears during the first several months of life. It starts as a flat red mark anywhere on the body, most often on the face, scalp, chest or back. Usually a child has only one mark. Some children may have more than one, particularly if they're part of a multiple birth. During your child's first year, the red mark grows rapidly into a spongy, rubbery-looking bump that sticks out from the skin. The hemangioma then enters a rest phase and, eventually, it begins to slowly disappear. Many hemangiomas disappear by age 5, and most are gone by age 10. The skin may be slightly discolored or raised after the hemangioma goes away.","['hemangioma may present birth', ' first months life', ' starts flat red mark body', ' face', ' scalp', ' chest back', ' child only mark', ' children may one', "" they're part multiple birth"", "" child's first year"", ' red mark grows rapidly spongy', ' rubbery-looking bump sticks skin', ' hemangioma enters rest phase and', ' eventually', ' begins slowly disappear', ' hemangiomas disappear age 5', ' age 10', ' skin may slightly discolored raised hemangioma goes away']"
"chills,vomiting,fatigue,weight_loss,cough,high_fever,breathlessness,sweating,loss_of_appetite,mild_fever,yellowing_of_eyes,swelled_lymph_nodes,malaise,phlegm,chest_pain,blood_in_sputum","['chills', 'vomiting', 'fatigue', 'weight loss', 'cough', 'high fever', 'breathlessness', 'sweating', 'loss of appetite', 'mild fever', 'yellowing of eyes', 'swelled lymph nodes', 'malaise', 'phlegm', 'chest pain', 'blood in sputum']"
"I've been having a headache, chest pain, dizziness, and trouble concentrating.","[""i've headache"", ' chest pain', ' dizziness', ' trouble concentrating']"
"Allergy symptoms, which depend on the substance involved, can affect your airways, sinuses and nasal passages, skin, and digestive system. Allergic reactions can range from mild to severe. In some severe cases, allergies can trigger a life-threatening reaction known as anaphylaxis. Hay fever, also called allergic rhinitis, can cause: Hay fever,  Sneezing Itching of the nose, eyes or roof of the mouth Runny, stuffy nose Watery, red or swollen eyes (conjunctivitis)  A food allergy can cause: A food allergy  Tingling in the mouth Swelling of the lips, tongue, face or throat Hives Anaphylaxis  An insect sting allergy can cause: An insect sting allergy  A large area of swelling (edema) at the sting site Itching or hives all over the body Cough, chest tightness, wheezing or shortness of breath Anaphylaxis  A drug allergy can cause: A drug allergy  Hives Itchy skin Rash Facial swelling Wheezing Anaphylaxis  Atopic dermatitis, an allergic skin condition also called eczema, can cause skin to: Atopic dermatitis,  Itch Redden Flake or peel  Anaphylaxis Some types of allergies, including allergies to foods and insect stings, can trigger a severe reaction known as anaphylaxis. A life-threatening medical emergency, anaphylaxis can cause you to go into shock. Signs and symptoms of anaphylaxis include:  Loss of consciousness A drop in blood pressure Severe shortness of breath Skin rash Lightheadedness A rapid, weak pulse Nausea and vomiting","['allergy symptoms', ' depend substance involved', ' can affect airways', ' sinuses nasal passages', ' skin', ' digestive system', ' allergic reactions can range mild severe', ' severe cases', ' allergies can trigger life-threatening reaction known anaphylaxis', ' hay fever', ' called allergic rhinitis', ' can cause: hay fever', '  sneezing itching nose', ' eyes roof mouth runny', ' stuffy nose watery', ' red swollen eyes (conjunctivitis)  food allergy can cause: food allergy  tingling mouth swelling lips', ' tongue', ' face throat hives anaphylaxis  insect sting allergy can cause: insect sting allergy  large area swelling (edema) sting site itching hives body cough', ' chest tightness', ' wheezing shortness breath anaphylaxis  drug allergy can cause: drug allergy  hives itchy skin rash facial swelling wheezing anaphylaxis  atopic dermatitis', ' allergic skin condition called eczema', ' can cause skin to: atopic dermatitis', '  itch redden flake peel  anaphylaxis types allergies', ' including allergies foods insect stings', ' can trigger severe reaction known anaphylaxis', ' life-threatening medical emergency', ' anaphylaxis can cause shock', ' signs symptoms anaphylaxis include:  loss consciousness drop blood pressure severe shortness breath skin rash lightheadedness rapid', ' weak pulse nausea vomiting ']"
"joint_pain,vomiting,fatigue,dark_urine,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","['joint pain', 'vomiting', 'fatigue', 'dark urine', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes']"
"vomiting,sunken_eyes,diarrhoea","['vomiting', 'sunken eyes', 'diarrhoea']"
"itching,vomiting,fatigue,weight_loss,high_fever,yellowish_skin,dark_urine,abdominal_pain","['itching', 'vomiting', 'fatigue', 'weight loss', 'high fever', 'yellowish skin', 'dark urine', 'abdominal pain']"
I have been having a headache for the past few days. It feels like a sharp pain in my temples. I also have chest pain and dizziness.,"['headache past days', ' feels like sharp pain temples', ' chest pain dizziness']"
"continuous_sneezing,chills,fatigue,cough,high_fever,headache,swelled_lymph_nodes,malaise,phlegm,throat_irritation,redness_of_eyes,sinus_pressure,runny_nose,congestion,chest_pain,loss_of_smell,muscle_pain","['continuous sneezing', 'chills', 'fatigue', 'cough', 'high fever', 'headache', 'swelled lymph nodes', 'malaise', 'phlegm', 'throat irritation', 'redness of eyes', 'sinus pressure', 'runny nose', 'congestion', 'chest pain', 'loss of smell', 'muscle pain']"
Signs and symptoms of gastroparesis include:  Vomiting Nausea Abdominal bloating Abdominal pain A feeling of fullness after eating just a few bites Vomiting undigested food eaten a few hours earlier Acid reflux Changes in blood sugar levels Lack of appetite Weight loss and malnutrition  Many people with gastroparesis don't have any noticeable signs and symptoms.,"[""signs symptoms gastroparesis include:  vomiting nausea abdominal bloating abdominal pain feeling fullness eating just bites vomiting undigested food eaten hours earlier acid reflux changes blood sugar levels lack appetite weight loss malnutrition  people gastroparesis don't noticeable signs symptoms""]"
"chills,vomiting,fatigue,high_fever,headache,nausea,constipation,abdominal_pain,diarrhoea,toxic_look_(typhos),belly_pain","['chills', 'vomiting', 'fatigue', 'high fever', 'headache', 'nausea', 'constipation', 'abdominal pain', 'diarrhoea', 'toxic look (typhos)', 'belly pain']"
"Many people with peripheral artery disease have mild or no symptoms. Some people have leg pain when walking (claudication). Claudication symptoms include muscle pain or cramping in the legs or arms that begins during exercise and ends with rest. The pain is most commonly felt in the calf. The pain ranges from mild to severe. Severe leg pain may make it hard to walk or do other types of physical activity. Other peripheral artery disease symptoms may include:  Coldness in the lower leg or foot, especially when compared with the other side Leg numbness or weakness No pulse or a weak pulse in the legs or feet Painful cramping in one or both of the hips, thighs or calf muscles after certain activities, such as walking or climbing stairs Shiny skin on the legs Skin color changes on the legs Slower growth of the toenails Sores on the toes, feet or legs that won't heal Pain when using the arms, such as aching and cramping when knitting, writing or doing other manual tasks Erectile dysfunction Hair loss or slower hair growth on the legs  If peripheral artery disease gets worse, pain may occur during rest or when lying down. The pain may interrupt sleep. Hanging the legs over the edge of the bed or walking may temporarily relieve the pain.","['people peripheral artery disease mild symptoms', ' people leg pain walking (claudication)', ' claudication symptoms include muscle pain cramping legs arms begins exercise ends rest', ' pain commonly felt calf', ' pain ranges mild severe', ' severe leg pain may hard walk types physical activity', ' peripheral artery disease symptoms may include:  coldness lower leg foot', ' especially compared side leg numbness weakness pulse weak pulse legs feet painful cramping hips', ' thighs calf muscles activities', ' walking climbing stairs shiny skin legs skin color changes legs slower growth toenails sores toes', "" feet legs won't heal pain using arms"", ' aching cramping knitting', ' writing manual tasks erectile dysfunction hair loss slower hair growth legs  peripheral artery disease worse', ' pain may occur rest lying down', ' pain may interrupt sleep', ' hanging legs edge bed walking may temporarily relieve pain']"
"continuous_sneezing,shivering,watering_from_eyes","['continuous sneezing', 'shivering', 'watering from eyes']"
"fatigue,yellowish_skin,nausea,loss_of_appetite,yellowing_of_eyes,family_history","['fatigue', 'yellowish skin', 'nausea', 'loss of appetite', 'yellowing of eyes', 'family history']"
"The main sign of low sperm count is the inability to conceive a child. There might be no other obvious signs or symptoms. In some men, an underlying problem such as an inherited chromosomal abnormality, a hormonal imbalance, dilated testicular veins or a condition that blocks the passage of sperm may cause signs and symptoms. Low sperm count symptoms might include:  Problems with sexual function — for example, low sex drive or difficulty maintaining an erection (erectile dysfunction) Pain, swelling or a lump in the testicle area Decreased facial or body hair or other signs of a chromosome or hormone abnormality","['sign low sperm count inability conceive child', ' obvious signs symptoms', ' men', ' underlying problem inherited chromosomal abnormality', ' hormonal imbalance', ' dilated testicular veins condition blocks passage sperm may cause signs symptoms', ' low sperm count symptoms include:  problems sexual function — example', ' low sex drive difficulty maintaining erection (erectile dysfunction) pain', ' swelling lump testicle area decreased facial body hair signs chromosome hormone abnormality ']"
"muscle_wasting,patches_in_throat,high_fever,extra_marital_contacts","['muscle wasting', 'patches in throat', 'high fever', 'extra marital contacts']"
"fatigue,cough,high_fever,breathlessness,family_history,mucoid_sputum","['fatigue', 'cough', 'high fever', 'breathlessness', 'family history', 'mucoid sputum']"
"fatigue,mood_swings,weight_loss,restlessness,sweating,diarrhoea,fast_heart_rate,excessive_hunger,muscle_weakness,irritability,abnormal_menstruation","['fatigue', 'mood swings', 'weight loss', 'restlessness', 'sweating', 'diarrhoea', 'fast heart rate', 'excessive hunger', 'muscle weakness', 'irritability', 'abnormal menstruation']"
"I've been feeling really sick for the past few days. I've had a high fever, chills, and intense itching. I've also been vomiting and sweating a lot. I have a headache and my muscles are sore.","[""i've feeling sick past days"", "" i've high fever"", ' chills', ' intense itching', "" i've vomiting sweating lot"", ' headache muscles sore']"
"itching,vomiting,yellowish_skin,nausea,loss_of_appetite,abdominal_pain,yellowing_of_eyes","['itching', 'vomiting', 'yellowish skin', 'nausea', 'loss of appetite', 'abdominal pain', 'yellowing of eyes']"
"My skin is really itchy, and it sometimes breaks out into a rash. I also have some weird areas of skin that are a different color than the rest of me, and sometimes I get little bumps that look like nodules.","['skin itchy', ' breaks rash', ' weird areas skin color rest me', ' little bumps look like nodules']"
